frame,time_s,preview_found,float_found,tip_y,cx,cy,area
0,0.000,0,0,0,0,0,0
15,0.250,0,0,0,0,0,0
30,0.501,0,0,0,0,0,0
45,0.751,0,0,0,0,0,0
60,1.001,0,0,0,0,0,0
75,1.252,0,0,0,0,0,0
90,1.502,0,0,0,0,0,0
105,1.752,0,0,0,0,0,0
120,2.003,0,0,0,0,0,0
135,2.253,0,0,0,0,0,0
150,2.503,1,1,586,1821,618,831
165,2.754,1,1,834,2319,854,998
180,3.004,1,1,674,2529,675,55
195,3.254,0,0,0,0,0,0
210,3.505,0,0,0,0,0,0
225,3.755,0,0,0,0,0,0
240,4.006,0,0,0,0,0,0
255,4.256,0,0,0,0,0,0
270,4.506,0,0,0,0,0,0
285,4.757,1,0,0,0,0,0
300,5.007,1,0,0,0,0,0
315,5.257,1,0,0,0,0,0
330,5.508,1,1,619,2394,658,873
345,5.758,1,1,621,2394,658,836
360,6.008,1,1,617,2392,658,918
375,6.259,1,0,0,0,0,0
390,6.509,1,0,0,0,0,0
405,6.759,1,0,0,0,0,0
420,7.010,1,1,620,2387,661,932
435,7.260,1,1,619,2388,659,912
450,7.510,1,1,619,2389,659,920
465,7.761,1,1,619,2389,659,894
480,8.011,1,1,621,2390,661,885
495,8.261,1,1,620,2390,660,884
510,8.512,1,1,619,2390,659,877
525,8.762,1,1,620,2390,659,842
540,9.012,1,1,619,2391,656,815
555,9.263,1,1,621,2391,660,856
570,9.513,1,1,621,2391,660,876
585,9.763,1,1,623,2391,661,841
600,10.014,1,1,620,2391,659,866
615,10.264,1,1,614,2391,655,923
630,10.515,1,1,620,2391,659,869
645,10.765,1,1,621,2392,659,834
660,11.015,1,1,621,2391,660,847
675,11.266,1,1,621,2391,660,881
690,11.516,1,1,616,2392,658,949
705,11.766,1,1,621,2392,662,935
720,12.017,1,1,617,2392,660,955
735,12.267,1,1,620,2392,663,955
750,12.517,1,1,622,2392,664,938
765,12.768,1,1,618,2391,662,995
780,13.018,1,1,618,2391,662,988
795,13.268,1,1,622,2391,664,938
810,13.519,1,1,618,2391,661,974
825,13.769,1,1,621,2391,662,932
840,14.019,1,1,612,2391,658,1048
855,14.270,1,1,613,2392,658,1020
