frame,time_s,preview_visible,float_found,tip_y,cx,cy,area
0,0.000,0,0,0,0,0,0
6,0.100,0,0,0,0,0,0
12,0.200,0,0,0,0,0,0
18,0.300,0,0,0,0,0,0
24,0.401,0,0,0,0,0,0
30,0.501,0,0,0,0,0,0
36,0.601,0,0,0,0,0,0
42,0.701,0,0,0,0,0,0
48,0.801,0,0,0,0,0,0
54,0.901,0,0,0,0,0,0
60,1.001,0,0,0,0,0,0
66,1.102,0,0,0,0,0,0
72,1.202,0,0,0,0,0,0
78,1.302,0,0,0,0,0,0
84,1.402,0,0,0,0,0,0
90,1.502,0,0,0,0,0,0
96,1.602,0,0,0,0,0,0
102,1.702,0,0,0,0,0,0
108,1.802,0,0,0,0,0,0
114,1.903,0,0,0,0,0,0
120,2.003,0,0,0,0,0,0
126,2.103,0,0,0,0,0,0
132,2.203,0,0,0,0,0,0
138,2.303,0,0,0,0,0,0
144,2.403,0,0,0,0,0,0
150,2.503,0,0,0,0,0,0
156,2.604,0,0,0,0,0,0
162,2.704,0,0,0,0,0,0
168,2.804,1,1,620,2360,788,1694
174,2.904,0,0,0,0,0,0
180,3.004,1,1,690,2427,694,148
186,3.104,0,0,0,0,0,0
192,3.204,0,0,0,0,0,0
198,3.305,0,0,0,0,0,0
204,3.405,0,0,0,0,0,0
210,3.505,0,0,0,0,0,0
216,3.605,0,0,0,0,0,0
222,3.705,0,0,0,0,0,0
228,3.805,0,0,0,0,0,0
234,3.905,0,0,0,0,0,0
240,4.006,0,0,0,0,0,0
246,4.106,0,0,0,0,0,0
252,4.206,0,0,0,0,0,0
258,4.306,0,0,0,0,0,0
264,4.406,0,0,0,0,0,0
270,4.506,0,0,0,0,0,0
276,4.606,0,0,0,0,0,0
282,4.706,1,0,0,0,0,0
288,4.807,1,0,0,0,0,0
294,4.907,1,0,0,0,0,0
300,5.007,1,0,0,0,0,0
306,5.107,1,0,0,0,0,0
312,5.207,1,0,0,0,0,0
318,5.307,1,1,616,2393,659,915
324,5.407,1,1,616,2394,659,957
330,5.508,1,1,616,2391,661,976
336,5.608,1,1,616,2391,661,969
342,5.708,1,1,616,2391,662,958
348,5.808,1,1,616,2391,663,991
354,5.908,1,1,616,2391,665,1049
360,6.008,1,1,616,2391,664,1028
366,6.108,1,1,616,2391,657,909
372,6.209,1,1,616,2391,660,980
378,6.309,1,1,616,2390,661,1001
384,6.409,1,1,617,2388,664,1083
390,6.509,1,1,617,2387,663,1077
396,6.609,1,1,617,2387,662,1056
402,6.709,1,1,617,2388,661,1028
408,6.809,1,1,617,2387,660,1005
414,6.910,1,1,617,2389,662,998
420,7.010,1,1,617,2388,664,1057
426,7.110,1,1,617,2388,662,999
432,7.210,1,1,617,2388,662,980
438,7.310,1,1,617,2388,663,1005
444,7.410,1,1,617,2388,662,948
450,7.510,1,1,617,2388,664,1012
456,7.611,1,1,617,2388,664,1016
462,7.711,1,1,617,2388,662,997
468,7.811,1,1,617,2389,660,938
474,7.911,1,1,617,2388,662,976
480,8.011,1,1,617,2388,663,1013
486,8.111,1,1,617,2388,665,1044
492,8.211,1,1,617,2388,664,1028
498,8.311,1,1,617,2389,662,992
504,8.412,1,1,617,2389,662,973
510,8.512,1,1,616,2390,661,965
516,8.612,1,1,616,2391,657,882
522,8.712,1,1,616,2390,660,928
528,8.812,1,1,617,2388,661,961
534,8.912,1,1,617,2388,660,941
540,9.012,1,1,616,2390,659,914
546,9.113,1,1,616,2390,661,972
552,9.213,1,1,616,2390,661,955
558,9.313,1,1,616,2390,662,983
564,9.413,1,1,616,2390,662,981
570,9.513,1,1,616,2390,662,992
576,9.613,1,1,616,2390,662,994
582,9.713,1,1,616,2391,661,977
588,9.814,1,1,616,2390,662,984
594,9.914,1,1,616,2390,662,993
600,10.014,1,1,616,2390,663,997
606,10.114,1,1,616,2390,662,995
612,10.214,1,1,616,2390,662,985
618,10.314,1,1,616,2390,663,990
624,10.414,1,1,616,2390,663,1005
630,10.515,1,1,616,2390,663,1008
636,10.615,1,1,616,2390,662,985
642,10.715,1,1,616,2390,662,978
648,10.815,1,1,616,2390,663,987
654,10.915,1,1,616,2390,662,976
660,11.015,1,1,616,2390,662,968
666,11.115,1,1,616,2390,663,988
672,11.215,1,1,616,2390,663,1009
678,11.316,1,1,616,2390,663,1026
684,11.416,1,1,616,2390,664,1049
690,11.516,1,1,616,2390,662,1005
696,11.616,1,1,616,2390,665,1068
702,11.716,1,1,617,2390,665,1074
708,11.816,1,1,617,2391,665,1063
714,11.916,1,1,616,2391,665,1073
720,12.017,1,1,616,2391,665,1051
726,12.117,1,1,616,2391,665,1068
732,12.217,1,1,616,2391,665,1039
738,12.317,1,1,616,2391,665,1051
744,12.417,1,1,616,2391,665,1043
750,12.517,1,1,617,2391,664,1037
756,12.617,1,1,618,2391,665,1041
762,12.718,1,1,618,2392,663,1025
768,12.818,1,1,617,2392,663,1038
774,12.918,1,1,616,2392,662,1040
780,13.018,1,1,616,2392,663,1045
786,13.118,1,1,616,2390,664,1071
792,13.218,1,1,616,2390,664,1064
798,13.318,1,1,616,2390,664,1065
804,13.419,1,1,616,2390,664,1063
810,13.519,1,1,616,2390,664,1045
816,13.619,1,1,616,2392,662,1032
822,13.719,1,1,616,2392,662,1034
828,13.819,1,1,616,2392,660,984
834,13.919,1,1,616,2391,663,1012
840,14.019,1,1,616,2391,663,1042
846,14.119,1,1,616,2391,663,1041
852,14.220,1,1,616,2391,663,1039
858,14.320,1,1,616,2390,663,1040
864,14.420,1,1,616,2390,663,1039
870,14.520,1,1,616,2391,663,1029
876,14.620,1,1,616,2392,663,1023
882,14.720,1,1,616,2391,663,1013
888,14.820,1,1,616,2391,664,1038
894,14.921,1,1,616,2391,664,1036
900,15.021,1,1,616,2391,664,1039
906,15.121,1,1,616,2391,664,1023
912,15.221,1,1,616,2391,664,1026
918,15.321,1,1,616,2391,663,1019
924,15.421,1,1,616,2391,663,1005
930,15.521,1,1,616,2391,663,992
936,15.622,1,1,616,2391,663,999
942,15.722,1,1,616,2391,663,1006
948,15.822,1,1,616,2391,664,1010
954,15.922,1,1,616,2391,664,1005
960,16.022,1,1,616,2391,664,1018
966,16.122,1,1,616,2391,664,1013
972,16.222,1,1,616,2391,663,1025
978,16.323,1,1,616,2391,664,1032
984,16.423,1,1,616,2391,664,1039
990,16.523,1,1,616,2391,664,1030
996,16.623,1,1,616,2391,664,1015
1002,16.723,1,1,616,2391,663,985
1008,16.823,1,1,616,2391,663,1030
1014,16.923,1,1,616,2391,664,1046
1020,17.023,1,1,616,2391,664,1045
1026,17.124,1,1,616,2391,665,1047
1032,17.224,1,1,616,2391,665,1075
1038,17.324,1,1,616,2391,665,1069
1044,17.424,1,1,616,2391,666,1057
1050,17.524,1,1,616,2391,664,1061
1056,17.624,1,1,616,2391,665,1076
1062,17.724,1,1,616,2391,665,1077
1068,17.825,1,1,616,2391,663,1022
1074,17.925,1,1,616,2392,661,999
1080,18.025,1,1,616,2390,664,1045
1086,18.125,1,1,616,2390,663,1036
1092,18.225,1,1,616,2390,663,1019
1098,18.325,1,1,616,2390,664,1036
1104,18.425,1,1,616,2390,663,1024
1110,18.526,1,1,616,2390,663,1025
1116,18.626,1,1,616,2390,662,1013
1122,18.726,1,1,616,2390,663,1020
